@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute 'PiggyBank X' numeric
@attribute 'PiggyBank Y' numeric
@attribute 'PiggyBank Z' numeric
@attribute 'Camera Position X' numeric
@attribute 'Camera Position Y' numeric
@attribute 'Camera Position Z' numeric
@attribute 'Camera Rotation X' numeric
@attribute 'Camera Rotation Y' numeric
@attribute 'Camera Rotation Z' numeric
@attribute 'Don\'t Touch X' numeric
@attribute 'Water Volume Rise' numeric
@attribute 'Don\'t Touch Z' numeric

@data
5107,'2024/04/19 15:32:19:551',16,-0.064812,-0.000301,-0.99789,0.027415,-0.012378,-0.02948,?,?,?,?,?,?,?,?,?,?,?,?
5108,'2024/04/19 15:32:19:551',16,-0.064812,-0.000946,-0.99789,0.027415,-0.012378,-0.02948,?,?,?,?,?,?,?,?,?,?,?,?
5109,'2024/04/19 15:32:19:551',16,-0.064924,-0.000946,-0.99789,0.027415,-0.012378,-0.02948,?,?,?,?,?,?,?,?,?,?,?,?
5110,'2024/04/19 15:32:19:552',16,-0.064924,-0.000946,-0.99789,0.027415,-0.012378,-0.035232,?,?,?,?,?,?,?,?,?,?,?,?
5111,'2024/04/19 15:32:19:552',16,-0.064924,-0.000946,-0.99789,0.027415,-0.001692,-0.035232,?,?,?,?,?,?,?,?,?,?,?,?
5112,'2024/04/19 15:32:19:552',16,-0.064924,-0.000946,-0.99789,0.04869,-0.001692,-0.035232,?,?,?,?,?,?,?,?,?,?,?,?
5113,'2024/04/19 15:32:19:560',16,-0.064924,-0.000946,-0.997895,0.04869,-0.001692,-0.035232,?,?,?,?,?,?,?,?,?,?,?,?
5114,'2024/04/19 15:32:19:561',16,-0.064924,-0.001752,-0.997895,0.04869,-0.001692,-0.035232,?,?,?,?,?,?,?,?,?,?,?,?
5115,'2024/04/19 15:32:19:561',16,-0.064821,-0.001752,-0.997895,0.04869,-0.001692,-0.035232,?,?,?,?,?,?,?,?,?,?,?,?
5116,'2024/04/19 15:32:19:561',16,-0.064821,-0.001752,-0.997895,0.04869,-0.001692,-0.021525,?,?,?,?,?,?,?,?,?,?,?,?
5117,'2024/04/19 15:32:19:561',16,-0.064821,-0.001752,-0.997895,0.04869,0.018286,-0.021525,?,?,?,?,?,?,?,?,?,?,?,?
5118,'2024/04/19 15:32:19:561',16,-0.064821,-0.001752,-0.997895,0.047105,0.018286,-0.021525,?,?,?,?,?,?,?,?,?,?,?,?
5119,'2024/04/19 15:32:19:584',16,-0.064821,-0.001752,-0.997909,0.047105,0.018286,-0.021525,?,?,?,?,?,?,?,?,?,?,?,?
5120,'2024/04/19 15:32:19:584',16,-0.064821,-0.002306,-0.997909,0.047105,0.018286,-0.021525,?,?,?,?,?,?,?,?,?,?,?,?
5121,'2024/04/19 15:32:19:584',16,-0.064597,-0.002306,-0.997909,0.047105,0.018286,-0.021525,?,?,?,?,?,?,?,?,?,?,?,?
5122,'2024/04/19 15:32:19:584',16,-0.064597,-0.002306,-0.997909,0.047105,0.018286,-0.01421,?,?,?,?,?,?,?,?,?,?,?,?
5123,'2024/04/19 15:32:19:584',16,-0.064597,-0.002306,-0.997909,0.047105,0.007786,-0.01421,?,?,?,?,?,?,?,?,?,?,?,?
5124,'2024/04/19 15:32:19:584',16,-0.064597,-0.002306,-0.997909,0.023479,0.007786,-0.01421,?,?,?,?,?,?,?,?,?,?,?,?
5125,'2024/04/19 15:32:19:595',16,-0.064597,-0.002306,-0.997913,0.023479,0.007786,-0.01421,?,?,?,?,?,?,?,?,?,?,?,?
5126,'2024/04/19 15:32:19:595',16,-0.064597,-0.002536,-0.997913,0.023479,0.007786,-0.01421,?,?,?,?,?,?,?,?,?,?,?,?
5127,'2024/04/19 15:32:19:595',16,-0.064523,-0.002536,-0.997913,0.023479,0.007786,-0.01421,?,?,?,?,?,?,?,?,?,?,?,?
5128,'2024/04/19 15:32:19:595',16,-0.064523,-0.002536,-0.997913,0.023479,0.007786,-0.014244,?,?,?,?,?,?,?,?,?,?,?,?
5129,'2024/04/19 15:32:19:595',16,-0.064523,-0.002536,-0.997913,0.023479,-0.001061,-0.014244,?,?,?,?,?,?,?,?,?,?,?,?
5130,'2024/04/19 15:32:19:595',16,-0.064523,-0.002536,-0.997913,0.009802,-0.001061,-0.014244,?,?,?,?,?,?,?,?,?,?,?,?
5131,'2024/04/19 15:32:19:619',16,-0.064523,-0.002536,-0.997914,0.009802,-0.001061,-0.014244,?,?,?,?,?,?,?,?,?,?,?,?
5132,'2024/04/19 15:32:19:619',16,-0.064523,-0.003014,-0.997914,0.009802,-0.001061,-0.014244,?,?,?,?,?,?,?,?,?,?,?,?
5133,'2024/04/19 15:32:19:619',16,-0.064482,-0.003014,-0.997914,0.009802,-0.001061,-0.014244,?,?,?,?,?,?,?,?,?,?,?,?
5134,'2024/04/19 15:32:19:619',16,-0.064482,-0.003014,-0.997914,0.009802,-0.001061,-0.009007,?,?,?,?,?,?,?,?,?,?,?,?
5135,'2024/04/19 15:32:19:619',16,-0.064482,-0.003014,-0.997914,0.009802,0.017032,-0.009007,?,?,?,?,?,?,?,?,?,?,?,?
5136,'2024/04/19 15:32:19:619',16,-0.064482,-0.003014,-0.997914,0.027496,0.017032,-0.009007,?,?,?,?,?,?,?,?,?,?,?,?
5137,'2024/04/19 15:32:19:627',16,-0.064482,-0.003014,-0.997939,0.027496,0.017032,-0.009007,?,?,?,?,?,?,?,?,?,?,?,?
5138,'2024/04/19 15:32:19:627',16,-0.064482,-0.003396,-0.997939,0.027496,0.017032,-0.009007,?,?,?,?,?,?,?,?,?,?,?,?
5139,'2024/04/19 15:32:19:627',16,-0.064076,-0.003396,-0.997939,0.027496,0.017032,-0.009007,?,?,?,?,?,?,?,?,?,?,?,?
5140,'2024/04/19 15:32:19:627',16,-0.064076,-0.003396,-0.997939,0.027496,0.017032,-0.003703,?,?,?,?,?,?,?,?,?,?,?,?
5141,'2024/04/19 15:32:19:627',16,-0.064076,-0.003396,-0.997939,0.027496,0.042987,-0.003703,?,?,?,?,?,?,?,?,?,?,?,?
5142,'2024/04/19 15:32:19:627',16,-0.064076,-0.003396,-0.997939,0.019847,0.042987,-0.003703,?,?,?,?,?,?,?,?,?,?,?,?
5143,'2024/04/19 15:32:19:649',16,-0.064076,-0.003396,-0.997974,0.019847,0.042987,-0.003703,?,?,?,?,?,?,?,?,?,?,?,?
5144,'2024/04/19 15:32:19:649',16,-0.064076,-0.003607,-0.997974,0.019847,0.042987,-0.003703,?,?,?,?,?,?,?,?,?,?,?,?
5145,'2024/04/19 15:32:19:649',16,-0.063515,-0.003607,-0.997974,0.019847,0.042987,-0.003703,?,?,?,?,?,?,?,?,?,?,?,?
5146,'2024/04/19 15:32:19:649',16,-0.063515,-0.003607,-0.997974,0.019847,0.042987,0.012742,?,?,?,?,?,?,?,?,?,?,?,?
5147,'2024/04/19 15:32:19:649',16,-0.063515,-0.003607,-0.997974,0.019847,0.0258,0.012742,?,?,?,?,?,?,?,?,?,?,?,?
5148,'2024/04/19 15:32:19:650',16,-0.063515,-0.003607,-0.997974,0.007345,0.0258,0.012742,?,?,?,?,?,?,?,?,?,?,?,?
5149,'2024/04/19 15:32:19:662',16,-0.063515,-0.003607,-0.997975,0.007345,0.0258,0.012742,?,?,?,?,?,?,?,?,?,?,?,?
5150,'2024/04/19 15:32:19:662',16,-0.063515,-0.003513,-0.997975,0.007345,0.0258,0.012742,?,?,?,?,?,?,?,?,?,?,?,?
5151,'2024/04/19 15:32:19:662',16,-0.063516,-0.003513,-0.997975,0.007345,0.0258,0.012742,?,?,?,?,?,?,?,?,?,?,?,?
5152,'2024/04/19 15:32:19:662',16,-0.063516,-0.003513,-0.997975,0.007345,0.0258,-0.002471,?,?,?,?,?,?,?,?,?,?,?,?
5153,'2024/04/19 15:32:19:662',16,-0.063516,-0.003513,-0.997975,0.007345,-0.014787,-0.002471,?,?,?,?,?,?,?,?,?,?,?,?
5154,'2024/04/19 15:32:19:662',16,-0.063516,-0.003513,-0.997975,-0.021094,-0.014787,-0.002471,?,?,?,?,?,?,?,?,?,?,?,?
5155,'2024/04/19 15:32:19:683',16,-0.063516,-0.003513,-0.997969,-0.021094,-0.014787,-0.002471,?,?,?,?,?,?,?,?,?,?,?,?
5156,'2024/04/19 15:32:19:683',16,-0.063516,-0.003085,-0.997969,-0.021094,-0.014787,-0.002471,?,?,?,?,?,?,?,?,?,?,?,?
5157,'2024/04/19 15:32:19:683',16,-0.06363,-0.003085,-0.997969,-0.021094,-0.014787,-0.002471,?,?,?,?,?,?,?,?,?,?,?,?
5158,'2024/04/19 15:32:19:683',16,-0.06363,-0.003085,-0.997969,-0.021094,-0.014787,-0.009373,?,?,?,?,?,?,?,?,?,?,?,?
5159,'2024/04/19 15:32:19:683',16,-0.06363,-0.003085,-0.997969,-0.021094,0.002498,-0.009373,?,?,?,?,?,?,?,?,?,?,?,?
5160,'2024/04/19 15:32:19:683',16,-0.06363,-0.003085,-0.997969,-0.028129,0.002498,-0.009373,?,?,?,?,?,?,?,?,?,?,?,?
5161,'2024/04/19 15:32:19:694',16,-0.06363,-0.003085,-0.99797,-0.028129,0.002498,-0.009373,?,?,?,?,?,?,?,?,?,?,?,?
5162,'2024/04/19 15:32:19:694',16,-0.06363,-0.002855,-0.99797,-0.028129,0.002498,-0.009373,?,?,?,?,?,?,?,?,?,?,?,?
5163,'2024/04/19 15:32:19:694',16,-0.063619,-0.002855,-0.99797,-0.028129,0.002498,-0.009373,?,?,?,?,?,?,?,?,?,?,?,?
5164,'2024/04/19 15:32:19:694',16,-0.063619,-0.002855,-0.99797,-0.028129,0.002498,0.000033,?,?,?,?,?,?,?,?,?,?,?,?
5165,'2024/04/19 15:32:19:694',16,-0.063619,-0.002855,-0.99797,-0.028129,0.001645,0.000033,?,?,?,?,?,?,?,?,?,?,?,?
5166,'2024/04/19 15:32:19:694',16,-0.063619,-0.002855,-0.99797,-0.000261,0.001645,0.000033,?,?,?,?,?,?,?,?,?,?,?,?
5167,'2024/04/19 15:32:19:718',16,-0.063619,-0.002855,-0.997973,-0.000261,0.001645,0.000033,?,?,?,?,?,?,?,?,?,?,?,?
5168,'2024/04/19 15:32:19:718',16,-0.063619,-0.002979,-0.997973,-0.000261,0.001645,0.000033,?,?,?,?,?,?,?,?,?,?,?,?
5169,'2024/04/19 15:32:19:718',16,-0.063576,-0.002979,-0.997973,-0.000261,0.001645,0.000033,?,?,?,?,?,?,?,?,?,?,?,?
